schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-16T04:47:29Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.308000,0.001540,median,0.000515,0.000002,0.46,4668,19996,0.006365,-91.91,2.00,PASS,windows-2022-gha
1,2026-03-16T04:47:29Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.638000,0.003190,total,0.003190,0.000000,0.00,4656,9728,0.016085,-80.17,5.00,PASS,windows-2022-gha
1,2026-03-16T04:47:38Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,36.554000,0.182770,total,0.182770,0.000000,0.00,2224,64512,1.497700,-87.80,5.00,PASS,macos-14-gha
1,2026-03-16T04:47:38Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,3.943000,0.039430,median,0.007900,0.000114,1.44,2048,11432,0.057350,-86.22,10.00,PASS,macos-14-gha
1,2026-03-16T04:47:38Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.192000,0.000096,total,0.000096,0.000000,0.00,2224,144,0.000677,-85.82,5.00,PASS,macos-14-gha
1,2026-03-16T04:47:38Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.221000,0.001105,median,0.000365,0.000005,1.29,2224,16152,0.006365,-94.27,2.00,PASS,macos-14-gha
1,2026-03-16T04:47:38Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23128292692,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.247000,0.001235,total,0.001235,0.000000,0.00,2224,9728,0.016085,-92.32,5.00,PASS,macos-14-gha
1,2026-03-17T04:25:58Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,linux,x64,clang,Release,performance,broadphase,200,0.0166667,46.096000,0.230480,total,0.230480,0.000000,0.00,4224,64512,1.455000,-84.16,5.00,PASS,ubuntu-22.04-gha
1,2026-03-17T04:25:58Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,6.647000,0.066470,median,0.013430,0.000443,3.30,4480,11432,0.052930,-74.63,10.00,PASS,ubuntu-22.04-gha
1,2026-03-17T04:25:58Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.286000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000672,-78.70,5.00,PASS,ubuntu-22.04-gha
1,2026-03-17T04:25:58Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.292000,0.001460,median,0.000470,0.000024,5.01,4096,16152,0.006325,-92.57,2.00,PASS,ubuntu-22.04-gha
1,2026-03-17T04:25:58Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,linux,x64,clang,Release,performance,solver,200,0.0166667,0.566000,0.002830,total,0.002830,0.000000,0.00,4224,9728,0.015695,-81.97,5.00,PASS,ubuntu-22.04-gha
1,2026-03-17T04:26:10Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,82.488000,0.412440,total,0.412440,0.000000,0.00,4660,44500,1.455000,-71.65,5.00,PASS,windows-2022-gha
1,2026-03-17T04:26:10Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,10.991000,0.109910,median,0.021800,0.000802,3.68,4676,11796,0.052930,-58.81,10.00,PASS,windows-2022-gha
1,2026-03-17T04:26:10Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.401000,0.000201,total,0.000201,0.000000,0.00,4660,144,0.000672,-70.14,5.00,PASS,windows-2022-gha
1,2026-03-17T04:26:10Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.365000,0.001825,median,0.000610,0.000100,16.40,4512,19996,0.006325,-90.36,2.00,PASS,windows-2022-gha
1,2026-03-17T04:26:10Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.685000,0.003425,total,0.003425,0.000000,0.00,4660,9728,0.015695,-78.18,5.00,PASS,windows-2022-gha
1,2026-03-17T04:26:19Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,46.753000,0.233765,total,0.233765,0.000000,0.00,2080,64512,1.455000,-83.93,5.00,PASS,macos-14-gha
1,2026-03-17T04:26:19Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,11.532000,0.115320,median,0.022090,0.005460,24.72,2224,11432,0.052930,-58.27,10.00,PASS,macos-14-gha
